time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.804993,nan,-0.019627,0.002155
0.809993,0.001490,-0.016902,0.002175
0.814993,nan,-0.019364,0.002190
0.819993,-0.166797,-0.045057,0.002202
0.824993,nan,-0.046333,0.002208
0.829993,-0.145106,-0.064047,0.002207
0.834993,nan,-0.063703,0.002202
0.839993,-0.041469,-0.059447,0.002195
0.844993,nan,-0.061859,0.002186
0.849993,-0.069201,-0.062395,0.002179
0.854993,nan,-0.063739,0.002170
0.859993,0.024504,-0.047691,0.002158
0.864992,nan,-0.048319,0.002144
0.869992,-0.037003,-0.048460,0.002131
0.874992,nan,-0.048304,0.002119
0.879992,-0.078179,-0.053391,0.002107
0.884992,nan,-0.055903,0.002092
0.889992,-0.074599,-0.061428,0.002070
0.894992,nan,-0.061493,0.002040
0.899992,-0.070407,-0.063593,0.002002
0.904992,nan,-0.059813,0.001959
0.909992,-0.002652,-0.049158,0.001909
0.914992,nan,-0.048473,0.001849
0.919992,0.147470,-0.014246,0.001780
0.924992,nan,-0.014565,0.001704
0.929992,0.223890,0.027609,0.001619
0.934992,nan,0.025133,0.001529
0.939991,-0.078604,0.006303,0.001438
0.944991,nan,0.005506,0.001348
0.949991,0.045496,0.013145,0.001263
0.954991,nan,0.012842,0.001186
0.959991,0.025473,0.016463,0.001120
0.964991,nan,0.021608,0.001064
0.969991,-0.014973,0.014175,0.001015
0.974991,nan,0.015501,0.000970
0.979991,0.022589,0.017880,0.000932
0.984991,nan,0.017182,0.000898
0.989991,0.007572,0.015830,0.000864
0.994991,nan,0.013749,0.000832
0.999991,-0.059663,0.002177,0.000803
1.004991,nan,0.003359,0.000775
1.009991,-0.051427,-0.005718,0.000748
1.014991,nan,-0.007042,0.000720
1.019992,0.091054,0.010840,0.000693
1.024992,nan,0.010142,0.000667
1.029992,-0.066864,-0.004265,0.000642
1.034992,nan,-0.000056,0.000619
1.039993,0.137592,0.022807,0.000598
1.044993,nan,0.021891,0.000574
1.049993,0.058540,0.029289,0.000548
1.054993,nan,0.029410,0.000522
1.059994,0.169856,0.055215,0.000492
1.064994,nan,0.055717,0.000458
1.069994,-0.002055,0.045021,0.000425
1.074994,nan,0.045211,0.000394
1.079994,0.065413,0.048847,0.000363
1.084995,nan,0.050164,0.000331
1.089995,-0.048316,0.030930,0.000297
1.094995,nan,0.032293,0.000262
1.099995,0.068295,0.039647,0.000223
1.104996,nan,0.039903,0.000180
1.109996,-0.031795,0.026698,0.000132
1.114996,nan,0.028465,0.000083
1.119996,-0.000391,0.024060,0.000029
1.124997,nan,0.023665,-0.000028
1.129997,0.049454,0.029913,-0.000087
1.134997,nan,0.030680,-0.000147
1.139997,0.170933,0.056684,-0.000207
1.144997,nan,0.057183,-0.000267
1.149998,0.094146,0.063670,-0.000329
1.154998,nan,0.063046,-0.000391
1.159998,-0.018863,0.049727,-0.000450
1.164998,nan,0.048058,-0.000504
1.169999,-0.148750,0.011818,-0.000553
1.174999,nan,0.011439,-0.000594
1.179999,-0.028823,0.003302,-0.000630
1.184999,nan,0.003594,-0.000665
1.190000,0.034107,0.010350,-0.000696
1.195000,nan,0.009687,-0.000724
1.200000,-0.154838,-0.018673,-0.000750
1.205000,nan,-0.018966,-0.000775
1.210001,-0.117118,-0.036539,-0.000793
1.215001,nan,-0.037589,-0.000804
1.220001,0.090569,-0.014661,-0.000809
1.225001,nan,-0.015850,-0.000815
1.230001,-0.123600,-0.037577,-0.000820
1.235002,nan,-0.036398,-0.000824
1.240002,-0.152371,-0.057647,-0.000828
1.245002,nan,-0.059517,-0.000835
1.250002,-0.130130,-0.072456,-0.000843
1.255003,nan,-0.070026,-0.000854
1.260003,0.145574,-0.031965,-0.000867
1.265003,nan,-0.032398,-0.000885
1.270003,0.038503,-0.019695,-0.000909
1.275004,nan,-0.017492,-0.000936
1.280004,0.101612,0.007012,-0.000965
1.285004,nan,0.009005,-0.000993
1.290004,-0.153685,-0.020256,-0.001024
1.295004,nan,-0.018979,-0.001055
1.300005,-0.073552,-0.028168,-0.001089
1.305005,nan,-0.029132,-0.001123
1.310005,-0.042271,-0.030695,-0.001152
1.315005,nan,-0.029087,-0.001178
1.320006,-0.036807,-0.032804,-0.001207
1.325006,nan,-0.032082,-0.001236
1.330006,0.107427,-0.006252,-0.001259
1.335006,nan,-0.005891,-0.001278
1.340007,-0.038434,-0.014009,-0.001299
1.345007,nan,-0.015632,-0.001322
1.350007,0.042618,-0.002992,-0.001344
1.355007,nan,-0.003441,-0.001364
1.360008,0.099334,0.014394,-0.001387
1.365008,nan,0.013981,-0.001408
1.370008,0.028746,0.017657,-0.001425
