MsgID.GLOBAL_POSITION,0.0000000,-122.3968487,37.7941038,3.2160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,75.3050000,180.3777161,53.7418213,-3.2168214
MsgID.LOCAL_VELOCITY,75.3050000,0.0001022,-0.0001764,0.0000117
MsgID.GLOBAL_POSITION,0.0000000,-122.3968471,37.7941028,3.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,75.5550000,180.2647552,53.8814011,-3.2310359
MsgID.LOCAL_VELOCITY,75.5550000,0.0000650,-0.0000723,-0.0000886
MsgID.GLOBAL_POSITION,0.0000000,-122.3968455,37.7941027,3.2280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,75.8060000,180.2559509,54.0271416,-3.2279849
MsgID.LOCAL_VELOCITY,75.8060000,-0.0000025,-0.0000494,0.0000595
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968465,37.7941025,3.2040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,76.0580000,180.2342834,53.9283943,-3.2031217
MsgID.LOCAL_VELOCITY,76.0580000,-0.0000021,-0.0000384,-0.0001436
MsgID.GLOBAL_POSITION,0.0000000,-122.3968463,37.7941040,3.1620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,76.3080000,180.4096985,53.9475670,-3.1594589
MsgID.LOCAL_VELOCITY,76.3080000,0.0000717,-0.0000667,0.0000146
MsgID.GLOBAL_POSITION,0.0000000,-122.3968483,37.7941051,3.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,76.5580000,180.5224915,53.7641792,-3.1055984
MsgID.LOCAL_VELOCITY,76.5580000,0.0000025,-0.0000224,-0.0000351
MsgID.GLOBAL_POSITION,0.0000000,-122.3968491,37.7941049,3.0500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,76.8090000,180.4928894,53.7088928,-3.0469460
MsgID.LOCAL_VELOCITY,76.8090000,-0.0000079,-0.0000187,-0.0000272
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968476,37.7941033,3.0120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1400000
MsgID.LOCAL_POSITION,77.0590000,180.3029938,53.8456688,-3.0122993
MsgID.LOCAL_VELOCITY,77.0590000,-0.0052165,0.0049223,-0.1556065
MsgID.GLOBAL_POSITION,0.0000000,-122.3968471,37.7941026,3.0260000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-0.2000000
MsgID.LOCAL_POSITION,77.3090000,180.2405548,53.8771935,-3.0288780
MsgID.LOCAL_VELOCITY,77.3090000,-0.0099952,0.0065083,-0.2099047
MsgID.GLOBAL_POSITION,0.0000000,-122.3968472,37.7941028,3.0500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,77.5600000,180.2700806,53.8693619,-3.0510726
MsgID.LOCAL_VELOCITY,77.5600000,-0.0045571,0.0026217,-0.0263351
MsgID.GLOBAL_POSITION,0.0000000,-122.3968486,37.7941046,3.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0300000
MsgID.LOCAL_POSITION,77.8100000,180.4735870,53.7369843,-3.0608282
MsgID.LOCAL_VELOCITY,77.8100000,-0.0010142,0.0019131,0.0457940
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968479,37.7941055,3.0650000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0100000,0.1000000
