MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3984784,37.7943473,0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.3820000,207.4260101,-91.1243668,-0.0575968
MsgID.LOCAL_VELOCITY,158.3820000,0.0000672,-0.0001670,0.0000281
MsgID.GLOBAL_POSITION,0.0000000,-122.3984796,37.7943471,0.0680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.6320000,207.4137268,-91.2287979,-0.0682376
MsgID.LOCAL_VELOCITY,158.6320000,0.0000524,-0.0002106,0.0000494
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943471,0.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,158.8820000,207.4091949,-91.1931381,-0.0906415
MsgID.LOCAL_VELOCITY,158.8820000,0.0000895,-0.0002194,0.0000194
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943462,0.1210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.1330000,207.3077850,-91.1929932,-0.1218043
MsgID.LOCAL_VELOCITY,159.1330000,0.0000388,0.0005430,-0.0000600
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943473,0.1560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.3830000,207.4331970,-91.1933136,-0.1566626
MsgID.LOCAL_VELOCITY,159.3830000,0.0000910,-0.0001302,0.0000086
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943475,0.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.6330000,207.4580994,-91.1929932,-0.1897072
MsgID.LOCAL_VELOCITY,159.6330000,0.0000687,-0.0002179,0.0000216
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943477,0.2140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.8830000,207.4714355,-91.1929092,-0.2143722
MsgID.LOCAL_VELOCITY,159.8830000,0.0000961,-0.0002036,0.0000114
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984787,37.7943489,0.2320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,160.1330000,207.6053925,-91.1518326,-0.2324513
MsgID.LOCAL_VELOCITY,160.1330000,0.0000584,0.0000418,0.0000280
MsgID.GLOBAL_POSITION,0.0000000,-122.3984789,37.7943480,0.2400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,160.3830000,207.5036469,-91.1652222,-0.2405571
MsgID.LOCAL_VELOCITY,160.3830000,0.0000720,-0.0001631,0.0000200
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943468,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,160.6330000,207.3721771,-91.1939163,-0.2432740
MsgID.LOCAL_VELOCITY,160.6330000,0.0000794,-0.0001935,0.0000157
MsgID.GLOBAL_POSITION,0.0000000,-122.3984793,37.7943474,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,160.8830000,207.4430084,-91.2062912,-0.2433059
MsgID.LOCAL_VELOCITY,160.8830000,0.0000828,-0.0002136,0.0000178
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984807,37.7943472,0.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,161.1330000,207.4214020,-91.3256378,-0.2422488
MsgID.LOCAL_VELOCITY,161.1330000,0.0000463,-0.0002046,0.0000415
MsgID.GLOBAL_POSITION,0.0000000,-122.3984788,37.7943481,0.2400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,161.3860000,207.5249329,-91.1595612,-0.2404786
MsgID.LOCAL_VELOCITY,161.3860000,0.0002210,0.0009743,0.0001720
MsgID.GLOBAL_POSITION,0.0000000,-122.3984774,37.7943488,0.2370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,161.6360000,207.5993042,-91.0373306,-0.2373220
MsgID.LOCAL_VELOCITY,161.6360000,0.0000857,-0.0000143,0.0000074
MsgID.GLOBAL_POSITION,0.0000000,-122.3984775,37.7943477,0.2310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,161.8860000,207.4706116,-91.0406876,-0.2311413
MsgID.LOCAL_VELOCITY,161.8860000,0.0000708,-0.0002186,0.0000162
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984789,37.7943475,0.2190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,162.1360000,207.4580994,-91.1706848,-0.2196367
MsgID.LOCAL_VELOCITY,162.1360000,0.0000884,-0.0002271,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3984789,37.7943474,0.1990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,162.3860000,207.4408569,-91.1660690,-0.1997628
MsgID.LOCAL_VELOCITY,162.3860000,0.0000737,-0.0000434,0.0000121
MsgID.GLOBAL_POSITION,0.0000000,-122.3984796,37.7943463,0.1690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,162.6360000,207.3160400,-91.2311707,-0.1693321
MsgID.LOCAL_VELOCITY,162.6360000,0.0000576,-0.0002024,0.0000342
MsgID.GLOBAL_POSITION,0.0000000,-122.3984795,37.7943459,0.1280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,162.8870000,207.2751770,-91.2228775,-0.1284432
MsgID.LOCAL_VELOCITY,162.8870000,0.0000830,-0.0002070,0.0000154
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943467,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,163.1370000,207.3676147,-91.1929932,-0.0814528
MsgID.LOCAL_VELOCITY,163.1370000,0.0000861,-0.0002228,0.0000209
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943475,0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,163.3870000,207.4517670,-91.1927261,-0.0346892
MsgID.LOCAL_VELOCITY,163.3870000,0.0000524,-0.0000782,0.0000165
MsgID.GLOBAL_POSITION,0.0000000,-122.3984792,37.7943479,-0.0050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,163.6370000,207.4951172,-91.1929932,0.0058901
MsgID.LOCAL_VELOCITY,163.6370000,0.0000761,-0.0002112,0.0000235
MsgID.GLOBAL_POSITION,0.0000000,-122.3984791,37.7943467,-0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,163.8870000,207.3665009,-91.1898956,0.0342621
MsgID.LOCAL_VELOCITY,163.8870000,0.0000610,-0.0002264,0.0000196
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984788,37.7943467,-0.0440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,164.1370000,207.3649292,-91.1590729,0.0441249
MsgID.LOCAL_VELOCITY,164.1370000,0.0000549,-0.0000871,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3984805,37.7943487,-0.0310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,164.3870000,207.5846252,-91.3099365,0.0313307
MsgID.LOCAL_VELOCITY,164.3870000,0.0000896,-0.0002053,-0.0000021
MsgID.GLOBAL_POSITION,0.0000000,-122.3984809,37.7943470,0.0030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,164.6370000,207.3977051,-91.3450699,-0.0032972
MsgID.LOCAL_VELOCITY,164.6370000,0.0000698,-0.0002261,0.0000104
MsgID.GLOBAL_POSITION,0.0000000,-122.3984791,37.7943469,0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,164.8870000,207.3872681,-91.1860046,-0.0572356
MsgID.LOCAL_VELOCITY,164.8870000,0.0000613,-0.0002223,0.0000146
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984795,37.7943474,0.1120000
